Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160309;3556;C;Perkins, Kendrick;;13.9;$3,500;nor;A;cha;113;122;14.03;2pt 7rb 1as 1bl 1-1fg 0-2ft
20160309;3307;C;Chandler, Tyson;1;13.3;$4,400;pho;H;nyk;97;128;25.73;4pt 9rb 1as 3to 2-4fg
20160309;3645;C;Jefferson, Al;;12.1;$5,400;cha;H;nor;122;113;18.10;5pt 3rb 1as 1bl 1-3fg 3-4ft
20160309;4109;C;Koufos, Kosta;;11.8;$3,500;sac;H;cle;111;120;10.82;5pt 4rb 1st 2-2fg 1-2ft
20160309;4556;C;Baynes, Aron;;8.6;$3,500;det;A;dal;102;96;13.73;1pt 3rb 2bl 1-2ft
20160309;4263;C;Asik, Omer;1;6.2;$3,500;nor;A;cha;113;122; 6.07;0pt 1rb 2as 1st
20160309;4721;C;O'Bryant, Johnny;;5.4;$3,500;mil;H;mia;114;108; 7.97;3pt 2rb 1-1fg 1-2ft
20160309;4565;C;Withey, Jeff;;1.5;$3,500;uta;A;gsw;94;115; 5.35;0pt 1as 0-1fg
20160309;2404;C;Mohammed, Nazr;;0;$3,500;okc;H;lac;120;108; 0.97;0pt
20160309;3972;C;Anthony, Joel;;0;$3,500;det;A;dal;102;96;DNP;0pt
20160309;4858;C;Mejri, Salah;;0;$3,500;dal;H;det;96;102;DNP;0pt
20160309;4108;C;Kaun, Sasha;;0;$3,500;cle;A;sac;120;111;DNP;0pt
20160309;4299;C;Mozgov, Timofey;;0;$3,500;cle;A;sac;120;111;DNP;0pt
20160309;3397;C;Andersen, Chris;;0;$3,500;mem;A;bos;96;116;DNP;0pt
20160309;4084;C;Ajinca, Alexis;;0;$3,500;nor;A;cha;113;122;DNP;0pt
20160309;4836;C;Okafor, Jahlil;;0;$6,300;phi;H;hou;104;118;NA;0pt
20160309;3996;C;Hawes, Spencer;;0;$4,100;cha;H;nor;122;113;NA;
20160309;4304;C;Pleiss, Tibor;;0;$3,500;uta;A;gsw;94;115;NA;0pt
20160309;4583;C;Olynyk, Kelly;;0;$4,400;bos;H;mem;116;96;NA;0pt
20160309;4034;C;Wright, Brandan;;0;$3,700;mem;A;bos;96;116;NA;0pt
20160309;4114;C;McGee, JaVale;;0;$3,500;dal;H;det;96;102;NA;0pt
20160309;4541;NA;Johnson, Orlando;1;6.6;N/A;nor;A;cha;113;122;20.55;5pt 3rb 2to 2-7fg 1-2ft
